"Year","Month","Day","dailywtmp"
2012,4,25,16.49875
2012,4,26,18.46875
2012,4,27,20.0729166666667
2012,4,28,19.5020833333333
2012,4,29,18.56
2012,4,30,18.715
2012,5,1,20.40375
2012,5,2,21.5675
2012,5,3,21.92
2012,5,4,22.64625
2012,5,5,23.1029166666667
2012,5,6,22.82875
2012,5,7,22.6195833333333
2012,5,8,21.8716666666667
2012,5,9,22.4895833333333
2012,5,10,22.9308333333333
2012,5,11,22.2183333333333
2012,5,12,22.4033333333333
2012,5,13,22.7525
2012,5,14,22.27625
2012,5,15,22.19
2012,5,16,22.785
2012,5,17,23.0104166666667
2012,5,18,21.9445833333333
2012,5,19,19.8566666666667
2012,5,20,19.6995833333333
2012,5,21,20.3970833333333
2012,5,22,21.69875
2012,5,23,22.2379166666667
2012,5,24,22.6829166666667
2012,5,25,24.1716666666667
2012,5,26,24.2675
2012,5,27,24.2920833333333
2012,5,28,24.9154166666667
2012,5,29,26.08375
2012,5,30,25.5141666666667
2012,5,31,24.1378723404255
2012,6,1,25.3541666666667
2012,6,2,25.5055793991416
2012,6,3,24.8720833333333
2012,6,4,24.4808333333333
2012,6,5,23.52375
2012,6,6,21.5683333333333
2012,6,7,21.4091666666667
2012,6,8,22.45625
2012,6,9,23.71625
2012,6,10,24.71875
2012,6,11,25.21125
2012,6,12,25.045
2012,6,13,25.0925
2012,6,14,24.2504166666667
2012,6,15,22.7016666666667
2012,6,16,22.6354166666667
2012,6,17,22.7508403361345
2012,6,18,23.2020833333333
2012,6,19,24.0195833333333
2012,6,20,25.1683333333333
2012,6,21,26.12625
2012,6,22,26.4220833333333
2012,6,23,26.3808333333333
2012,6,24,26.5954166666667
2012,6,25,27.3404166666667
2012,6,26,26.0829166666667
2012,6,27,25.0129166666667
2012,6,28,26.0183333333333
2012,6,29,26.2858333333333
2012,6,30,26.8845833333333
2012,7,1,27.7025
2012,7,2,26.4525
2012,7,3,26.860593220339
2012,7,4,27.8481981981982
2012,7,5,27.3241666666667
2012,7,6,27.07625
2012,7,7,27.09
2012,7,8,27.57
2012,7,9,27.9891666666667
2012,7,10,28.31625
2012,7,11,27.6695833333333
2012,7,12,27.1125
2012,7,13,27.6408333333333
2012,7,14,28.1983333333333
2012,7,15,28.9
2012,7,16,28.3104166666667
2012,7,17,27.5995833333333
2012,7,18,27.3158333333333
2012,7,19,27.0129166666667
2012,7,20,26.8116666666667
2012,7,21,27.2608333333333
2012,7,22,26.6420833333333
2012,7,23,26.4145833333333
2012,7,24,26.489406779661
2012,7,25,26.7791666666667
2012,7,26,26.1866666666667
2012,7,27,27.1495833333333
2012,7,28,27.3170833333333
2012,7,29,27.8708333333333
2012,7,30,27.0395833333333
2012,7,31,26.6491666666667
2012,8,1,26.11625
2012,8,2,25.4533333333333
2012,8,3,26.4729166666667
2012,8,4,27.6433333333333
2012,8,5,28.6066666666667
2012,8,6,28.4308333333333
2012,8,7,27.3508333333333
2012,8,8,26.5221757322176
2012,8,9,26.6316666666667
2012,8,10,27.375
2012,8,23,25.8328358208955
2012,8,24,26.355
2012,8,25,26.7758333333333
2012,8,26,27.21
2012,8,27,27.3451882845188
2012,8,28,27.7958333333333
2012,8,29,26.7516666666667
2012,8,30,26.08625
2012,8,31,26.77375
2012,9,1,27.29875
2012,9,2,27.5041666666667
2012,9,3,27.5404166666667
2012,9,4,27.2491666666667
2012,9,5,27.2029166666667
2012,9,6,27.5670833333333
2012,9,7,27.6120833333333
2012,9,8,27.93375
2012,9,9,27.5829166666667
2012,9,10,24.7775
2012,9,11,24.0641666666667
2012,9,12,23.7416666666667
2012,9,13,24.1591666666667
2012,9,14,24.9316666666667
2012,9,15,24.895
2012,9,16,24.8270833333333
2012,9,17,24.9008333333333
2012,9,18,25.11
2012,9,19,25.428870292887
2012,9,20,23.8108333333333
2012,9,21,23.0204166666667
2012,9,22,23.6958333333333
2012,9,23,24.1220833333333
2012,9,24,22.3241666666667
2012,9,25,21.76
2012,9,26,22.7925
2012,9,27,23.9691666666667
2012,9,28,24.9774058577406
2012,9,29,25.11125
2012,9,30,24.4504166666667
2012,10,1,24.3266666666667
2012,10,2,24.35875
2012,10,3,24.7458333333333
