"Year","Month","Day","dailywtmp"
2012,10,27,21.0729166666667
2012,10,28,19.3766666666667
2012,10,29,17.93
2012,10,30,17.275
2012,10,31,15.63625
2012,11,1,15.27875
2012,11,2,15.3525
2012,11,3,15.255
2012,11,4,15.3283333333333
2012,11,5,15.1045833333333
2012,11,6,13.9695833333333
2012,11,7,12.7583333333333
2012,11,8,12.4613445378151
2012,11,9,12.2641666666667
2012,11,10,12.46
2012,11,11,12.8095833333333
2012,11,12,13.8016666666667
2012,11,13,14.9575
2012,11,14,14.4379166666667
2012,11,15,13.17125
2012,11,16,13.1195833333333
2012,11,17,13.0845833333333
2012,11,18,12.7270833333333
2012,11,19,12.8345833333333
2012,11,20,13.0345833333333
2012,11,21,12.9533333333333
2012,11,22,12.61625
2012,11,23,12.63375
2012,11,24,12.7508333333333
2012,11,25,11.9841666666667
2012,11,26,11.59375
2012,11,27,11.8995833333333
2012,11,28,12.1267782426778
2012,11,29,11.9804166666667
2012,11,30,12.0429166666667
2012,12,1,12.195
2012,12,2,12.3795833333333
2012,12,3,12.9708333333333
2012,12,4,13.6470833333333
2012,12,5,14.13375
2012,12,6,14.09375
2012,12,7,12.9254166666667
2012,12,8,13.30125
2012,12,9,13.9654166666667
2012,12,10,14.5175
2012,12,11,15.0470833333333
2012,12,12,15.14125
2012,12,13,13.5958333333333
2012,12,14,12.5204166666667
2012,12,15,12.5533333333333
2012,12,16,12.8420833333333
2012,12,17,13.4739495798319
2012,12,18,13.90375
2012,12,19,13.83375
2012,12,20,13.4233333333333
2012,12,21,13.57
2012,12,22,11.6433333333333
2012,12,23,10.6079166666667
2012,12,24,10.5954166666667
2012,12,25,11.2316666666667
2012,12,26,11.75125
2012,12,27,11.9908333333333
2012,12,28,10.9208333333333
2012,12,29,10.8195833333333
2012,12,30,10.5016666666667
2012,12,31,9.58
2013,1,1,9.80291666666667
2013,1,2,10.3941666666667
2013,1,3,10.03625
2013,1,4,9.07
2013,1,5,9.015
2013,1,6,9.30416666666667
2013,1,7,9.5225
2013,1,8,9.45125
2013,1,9,9.66583333333333
2013,1,10,10.4208333333333
2013,1,11,10.7266666666667
2013,1,12,11.5141666666667
2013,1,13,12.1608333333333
2013,1,14,12.8816666666667
2013,1,15,13.6025
2013,1,16,13.66125
2013,1,17,14.1258333333333
2013,1,18,13.4366666666667
2013,1,19,11.83125
2013,1,20,11.615
2013,1,21,11.82375
2013,1,22,11.5691666666667
2013,1,23,10.0995833333333
2013,1,24,9.06916666666667
2013,1,25,7.23416666666667
2013,1,26,7.14916666666667
2013,1,27,7.1775
2013,1,28,7.24541666666667
2013,1,29,8.24916666666667
2013,1,30,10.1679166666667
2013,1,31,11.8795833333333
2013,2,1,11.1020833333333
2013,2,2,9.57541666666667
2013,2,3,9.39291666666667
2013,2,4,9.24458333333333
2013,2,5,9.20291666666667
2013,2,6,9.93833333333333
2013,2,7,10.3858333333333
2013,2,8,11.0854166666667
2013,2,9,11.1454166666667
2013,2,10,10.6254166666667
2013,2,11,11.0070833333333
2013,2,12,11.76125
2013,2,13,12.15375
2013,2,14,12.0016666666667
2013,2,15,11.7979166666667
2013,2,16,12.03375
2013,2,17,10.8720833333333
2013,2,18,8.89166666666667
2013,2,19,9.10916666666667
2013,2,20,9.81458333333333
2013,2,21,10.0358333333333
2013,2,22,9.98958333333333
2013,2,23,10.12125
2013,2,24,10.815
2013,2,25,11.1733333333333
2013,2,26,10.5008333333333
2013,2,27,11.4975
2013,2,28,11.9370833333333
2013,3,1,11.6766666666667
2013,3,2,11.5669456066946
2013,3,3,11.3641666666667
2013,3,4,10.6208333333333
2013,3,5,10.1433333333333
2013,3,6,10.7466666666667
2013,3,7,9.70833333333333
2013,3,8,9.61166666666667
2013,3,9,9.54208333333333
2013,3,10,10.0858333333333
2013,3,11,11.0159663865546
2013,3,12,12.1091666666667
2013,3,13,12.5745833333333
2013,3,14,12.52625
2013,3,15,11.8254166666667
2013,3,16,11.9379166666667
2013,3,17,12.6216666666667
2013,3,18,12.50625
2013,3,19,13.159243697479
2013,3,20,13.6118721461187
2013,3,21,12.8766666666667
2013,3,22,11.8595833333333
2013,3,23,11.2695833333333
2013,3,24,11.2508333333333
2013,3,25,10.9929166666667
2013,3,26,10.23
2013,3,27,10.04875
2013,3,28,10.3925
2013,3,29,10.8141666666667
2013,3,30,11.4241666666667
2013,3,31,11.7841666666667
2013,4,1,12.56875
2013,4,2,13.0041666666667
2013,4,3,13.2929166666667
2013,4,4,12.4791666666667
2013,4,5,12.025
2013,4,6,12.2154166666667
2013,4,7,12.6220833333333
2013,4,8,13.8229166666667
2013,4,9,15.23375
2013,4,10,16.2516666666667
2013,4,11,16.8679166666667
2013,4,12,17.1933333333333
2013,4,13,17.2120833333333
2013,4,14,17.4795833333333
2013,4,15,17.6241666666667
2013,4,16,18.25875
2013,4,17,19.0808333333333
2013,4,18,19.4933333333333
2013,4,19,19.7958333333333
2013,4,20,19.5891666666667
2013,4,21,18.2070833333333
2013,4,22,16.3798319327731
2013,4,23,15.0208333333333
2013,4,24,15.43875
2013,4,25,16.6370833333333
2013,4,26,16.6025
2013,4,27,16.9879166666667
2013,4,28,17.2608333333333
2013,4,29,17.5970833333333
2013,4,30,17.53625
2013,5,1,18.30125
2013,5,2,18.79
2013,5,3,18.5995833333333
2013,5,4,17.6479166666667
